コード,全国，都道府県，市区町村,総数,男,女
10381,（旧：妙義町）,"3,846","1,926","1,920"
10211,安中市,"54,907","26,848","28,059"
1021C,（旧：安中市）,"42,775","20,937","21,838"
10401,（旧：松井田町）,"12,132","5,911","6,221"
10212,みどり市,"49,648","24,562","25,086"
10309,（旧：東村）,"1,701",807,894
10484,（旧：笠懸町）,"30,067","14,991","15,076"
10501,（旧：大間々町）,"17,880","8,764","9,116"
10344,榛東村,"14,216","7,190","7,026"
10345,吉岡町,"21,792","10,613","11,179"
10366,上野村,"1,128",573,555
10367,神流町,"1,645",793,852
10364,（旧：万場町）,"1,160",550,610
10365,（旧：中里村）,485,243,242
10382,下仁田町,"6,576","3,224","3,352"
10383,南牧村,"1,611",762,849
10384,甘楽町,"12,491","6,175","6,316"
10421,中之条町,"15,386","7,498","7,888"
1042B,（旧：中之条町）,"14,279","6,931","7,348"
10427,（旧：六合村）,"1,107",567,540
10424,長野原町,"5,095","2,529","2,566"
10425,嬬恋村,"8,850","4,522","4,328"
10426,草津町,"6,049","3,034","3,015"
10428,高山村,"3,511","1,745","1,766"
10429,東吾妻町,"12,728","6,268","6,460"
10422,（旧：東村）,"1,712",860,852
10423,（旧：吾妻町）,"11,016","5,408","5,608"
10443,片品村,"3,993","1,949","2,044"
10444,川場村,"3,480","1,593","1,887"
10448,昭和村,"6,953","3,455","3,498"
10449,みなかみ町,"17,195","8,349","8,846"
10445,（旧：月夜野町）,"8,647","4,194","4,453"
10446,（旧：水上町）,"3,484","1,702","1,782"
10447,（旧：新治村）,"5,064","2,453","2,611"
10464,玉村町,"36,054","17,594","18,460"
10521,板倉町,"14,083","7,031","7,052"
10522,明和町,"10,882","5,465","5,417"
10523,千代田町,"10,861","5,470","5,391"
10524,大泉町,"42,089","22,282","19,807"
10525,邑楽町,"25,522","12,852","12,670"
11000,埼玉県,"7,344,765","3,652,169","3,692,596"
11100,さいたま市,"1,324,025","652,920","671,105"
11204,（旧：浦和市）,"584,286","288,473","295,813"
11205,（旧：大宮市）,"524,655","257,852","266,803"
11213,（旧：岩槻市）,"111,815","55,579","56,236"
11220,（旧：与野市）,"103,269","51,016","52,253"
11101,さいたま市西区,"93,499","45,843","47,656"
11102,さいたま市北区,"149,242","73,370","75,872"
11103,さいたま市大宮区,"117,784","58,338","59,446"
11104,さいたま市見沼区,"165,049","80,749","84,300"
11105,さいたま市中央区,"103,269","51,016","52,253"
11106,さいたま市桜区,"98,661","49,764","48,897"
11107,さいたま市浦和区,"164,822","79,554","85,268"
11108,さいたま市南区,"191,563","95,491","96,072"
11109,さいたま市緑区,"128,321","63,216","65,105"
11110,さいたま市岩槻区,"111,815","55,579","56,236"
11201,川越市,"354,571","177,480","177,091"
11202,熊谷市,"194,415","97,087","97,328"
1120B,（旧：熊谷市）,"149,959","74,614","75,345"
11401,（旧：大里村）,"8,295","4,204","4,091"
11402,（旧：江南町）,"12,644","6,552","6,092"
11403,（旧：妻沼町）,"23,517","11,717","11,800"
11203,川口市,"594,274","299,238","295,036"
1120C,（旧：川口市）,"530,263","266,990","263,273"
11226,（旧：鳩ケ谷市）,"64,011","32,248","31,763"
11206,行田市,"78,617","38,736","39,881"
1120D,（旧：行田市）,"75,223","37,062","38,161"
11422,（旧：南河原村）,"3,394","1,674","1,720"
11207,秩父市,"59,674","29,068","30,606"
1120E,（旧：秩父市）,"50,155","24,465","25,690"
11364,（旧：吉田町）,"4,299","2,128","2,171"
11367,（旧：大滝村）,594,275,319
11368,（旧：荒川村）,"4,626","2,200","2,426"
11208,所沢市,"342,464","168,197","174,267"
11209,飯能市,"80,361","40,294","40,067"
1120F,（旧：飯能市）,"78,740","39,510","39,230"
11330,（旧：名栗村）,"1,621",784,837
11210,加須市,"111,623","55,982","55,641"
1121B,（旧：加須市）,"67,417","33,706","33,711"
11421,（旧：騎西町）,"19,089","9,677","9,412"
11424,（旧：北川辺町）,"11,000","5,530","5,470"
11425,（旧：大利根町）,"14,117","7,069","7,048"
11211,本庄市,"78,569","39,216","39,353"
1121C,（旧：本庄市）,"57,990","28,952","29,038"
11382,（旧：児玉町）,"20,579","10,264","10,315"
11212,東松山市,"91,791","46,187","45,604"
11214,春日部市,"229,792","113,467","116,325"
1121D,（旧：春日部市）,"193,850","95,669","98,181"
11468,（旧：庄和町）,"35,942","17,798","18,144"
11215,狭山市,"148,699","74,178","74,521"
11216,羽生市,"52,862","26,142","26,720"
11217,鴻巣市,"116,828","57,673","59,155"
1121E,（旧：鴻巣市）,"79,888","39,424","40,464"
11304,（旧：吹上町）,"28,342","13,992","14,350"
11423,（旧：川里村）,"8,598","4,257","4,341"
11218,深谷市,"141,268","70,200","71,068"
1121F,（旧：深谷市）,"98,496","48,872","49,624"
11405,（旧：岡部町）,"18,035","9,011","9,024"
11406,（旧：川本町）,"11,624","5,755","5,869"
11407,（旧：花園町）,"13,113","6,562","6,551"
11219,上尾市,"226,940","112,288","114,652"
11221,草加市,"248,304","125,213","123,091"
11222,越谷市,"341,621","168,747","172,874"
11223,蕨市,"74,283","37,470","36,813"
11224,戸田市,"140,899","71,388","69,511"
11225,入間市,"145,651","71,803","73,848"
11227,朝霞市,"141,083","70,696","70,387"
11228,志木市,"75,346","36,945","38,401"
11229,和光市,"83,989","43,138","40,851"
11230,新座市,"166,017","81,781","84,236"
11231,桶川市,"74,748","36,950","37,798"
11232,久喜市,"150,582","74,607","75,975"
1123B,（旧：久喜市）,"66,809","33,067","33,742"
11446,（旧：菖蒲町）,"18,801","9,467","9,334"
11461,（旧：栗橋町）,"27,019","13,312","13,707"
11462,（旧：鷲宮町）,"37,953","18,761","19,192"
11233,北本市,"65,201","32,214","32,987"
11234,八潮市,"93,363","47,995","45,368"
11235,富士見市,"111,859","54,871","56,988"
11237,三郷市,"142,145","71,486","70,659"
11238,蓮田市,"61,499","30,468","31,031"
11239,坂戸市,"100,275","50,041","50,234"
11240,幸手市,"50,066","24,979","25,087"
11241,鶴ヶ島市,"70,117","34,585","35,532"
11242,日高市,"54,571","26,953","27,618"
11243,吉川市,"71,979","35,800","36,179"
11245,ふじみ野市,"113,597","56,085","57,512"
11236,（旧：上福岡市）,"61,828","30,521","31,307"
11322,（旧：大井町）,"51,769","25,564","26,205"
11246,白岡市,"52,214","25,764","26,450"
11445,（旧：白岡町）,"52,214","25,764","26,450"
11301,伊奈町,"44,841","22,539","22,302"
11324,三芳町,"38,434","18,949","19,485"
11326,毛呂山町,"35,366","17,534","17,832"
11327,越生町,"11,029","5,494","5,535"
11341,滑川町,"19,732","10,070","9,662"
11342,嵐山町,"17,889","8,941","8,948"
11343,小川町,"28,524","14,190","14,334"
11346,川島町,"19,378","9,823","9,555"
11347,吉見町,"18,192","9,127","9,065"
11348,鳩山町,"13,560","6,556","7,004"
11349,ときがわ町,"10,540","5,333","5,207"
11344,（旧：都幾川村）,"5,950","2,984","2,966"
11345,（旧：玉川村）,"4,590","2,349","2,241"
11361,横瀬町,"7,979","3,966","4,013"
11362,皆野町,"9,302","4,583","4,719"
11363,長瀞町,"6,807","3,321","3,486"
11365,小鹿野町,"10,928","5,382","5,546"
1136B,（旧：小鹿野町）,"8,880","4,344","4,536"
11366,（旧：両神村）,"2,048","1,038","1,010"
11369,東秩父村,"2,709","1,352","1,357"
11381,美里町,"11,039","5,540","5,499"
11383,神川町,"13,359","6,755","6,604"
1138B,（旧：神川町）,"12,470","6,328","6,142"
11384,（旧：神泉村）,889,427,462
11385,上里町,"30,343","15,012","15,331"
11408,寄居町,"32,374","16,053","16,321"
11442,宮代町,"34,147","17,182","16,965"
11464,杉戸町,"43,845","21,927","21,918"
11465,松伏町,"28,266","14,208","14,058"
12000,千葉県,"6,284,480","3,117,987","3,166,493"
12100,千葉市,"974,951","481,246","493,705"
12101,千葉市中央区,"211,736","105,766","105,970"
12102,千葉市花見川区,"177,328","87,280","90,048"
12103,千葉市稲毛区,"160,582","80,345","80,237"
12104,千葉市若葉区,"146,940","73,000","73,940"
12105,千葉市緑区,"129,421","63,121","66,300"
12106,千葉市美浜区,"148,944","71,734","77,210"
12202,銚子市,"58,431","28,248","30,183"
12203,市川市,"496,676","251,351","245,325"
12204,船橋市,"642,907","318,860","324,047"
12205,館山市,"45,153","21,846","23,307"
12206,木更津市,"136,166","68,450","67,716"
12207,松戸市,"498,232","247,210","251,022"
12208,野田市,"152,638","76,195","76,443"
1220B,（旧：野田市）,"128,103","63,737","64,366"
12303,（旧：関宿町）,"24,535","12,458","12,077"
12210,茂原市,"86,782","42,643","44,139"
12211,成田市,"132,906","66,231","66,675"
1221B,（旧：成田市）,"116,069","57,650","58,419"
12341,（旧：下総町）,"6,185","3,110","3,075"
12343,（旧：大栄町）,"10,652","5,471","5,181"
12212,佐倉市,"168,743","82,421","86,322"
12213,東金市,"58,219","29,251","28,968"
12215,旭市,"63,745","31,379","32,366"
1221C,（旧：旭市）,"38,693","19,002","19,691"
12348,（旧：干潟町）,"6,160","3,040","3,120"
12361,（旧：海上町）,"10,218","5,037","5,181"
12362,（旧：飯岡町）,"8,674","4,300","4,374"
12216,習志野市,"176,197","87,882","88,315"
12217,柏市,"426,468","210,824","215,644"
1221D,（旧：柏市）,"373,951","184,615","189,336"
12305,（旧：沼南町）,"52,517","26,209","26,308"
12218,勝浦市,"16,927","8,704","8,223"
12219,市原市,"269,524","138,438","131,086"
12220,流山市,"199,849","98,431","101,418"
12221,八千代市,"199,498","97,920","101,578"
12222,我孫子市,"130,510","63,546","66,964"
12223,鴨川市,"32,116","15,224","16,892"
1222B,（旧：鴨川市）,"26,904","12,713","14,191"
12472,（旧：天津小湊町）,"5,212","2,511","2,701"
12224,鎌ケ谷市,"109,932","53,592","56,340"
12225,君津市,"82,206","41,928","40,278"
12226,富津市,"42,465","21,529","20,936"
12227,浦安市,"171,362","83,506","87,856"
12228,四街道市,"93,576","46,347","47,229"
12229,袖ケ浦市,"63,883","32,214","31,669"
12230,八街市,"67,455","34,113","33,342"
12231,印西市,"102,609","50,574","52,035"
1223B,（旧：印西市）,"81,379","40,025","41,354"
12325,（旧：印旛村）,"13,104","6,564","6,540"
12328,（旧：本埜村）,"8,126","3,985","4,141"
12232,白井市,"62,441","30,916","31,525"
12326,（旧：白井町）,"62,441","30,916","31,525"
12233,富里市,"49,735","25,303","24,432"
12324,（旧：富里町）,"49,735","25,303","24,432"
12234,南房総市,"35,831","17,011","18,820"
12461,（旧：富浦町）,"4,167","1,969","2,198"
12462,（旧：富山町）,"4,779","2,283","2,496"
12464,（旧：三芳村）,"4,107","1,944","2,163"
12465,（旧：白浜町）,"4,228","1,945","2,283"
12466,（旧：千倉町）,"9,656","4,569","5,087"
12467,（旧：丸山町）,"4,455","2,160","2,295"
12468,（旧：和田町）,"4,439","2,141","2,298"
12235,匝瑳市,"35,040","17,251","17,789"
12214,（旧：八日市場市）,"27,225","13,389","13,836"
12382,（旧：野栄町）,"7,815","3,862","3,953"
12236,香取市,"72,356","35,626","36,730"
12209,（旧：佐原市）,"37,710","18,586","19,124"
12344,（旧：小見川町）,"21,699","10,656","11,043"
12345,（旧：山田町）,"8,740","4,292","4,448"
12346,（旧：栗源町）,"4,207","2,092","2,115"
12237,山武市,"48,444","24,200","24,244"
12404,（旧：成東町）,"20,647","10,237","10,410"
12405,（旧：山武町）,"15,351","7,787","7,564"
12406,（旧：蓮沼村）,"3,682","1,796","1,886"
12407,（旧：松尾町）,"8,764","4,380","4,384"
12238,いすみ市,"35,544","17,362","18,182"
12442,（旧：夷隅町）,"6,124","3,011","3,113"
12444,（旧：大原町）,"16,495","8,039","8,456"
12445,（旧：岬町）,"12,925","6,312","6,613"
12239,大網白里市,"48,129","23,549","24,580"
12402,（旧：大網白里町）,"48,129","23,549","24,580"
12322,酒々井町,"20,745","10,155","10,590"
12329,栄町,"20,127","9,869","10,258"
12342,神崎町,"5,816","2,938","2,878"
12347,多古町,"13,735","6,941","6,794"
12349,東庄町,"13,228","6,575","6,653"
12403,九十九里町,"14,639","7,203","7,436"
12409,芝山町,"7,033","3,474","3,559"
12410,横芝光町,"22,075","10,767","11,308"
12381,（旧：光町）,"9,746","4,763","4,983"
12408,（旧：横芝町）,"12,329","6,004","6,325"
12421,一宮町,"11,897","5,824","6,073"
12422,睦沢町,"6,760","3,259","3,501"
12423,長生村,"13,803","6,801","7,002"
12424,白子町,"10,305","5,115","5,190"
12426,長柄町,"6,721","3,295","3,426"
12427,長南町,"7,198","3,527","3,671"
12441,大多喜町,"8,885","4,307","4,578"
12443,御宿町,"6,874","3,260","3,614"
12463,鋸南町,"6,993","3,356","3,637"
13000,東京都,"14,047,594","6,898,388","7,149,206"
13100,特別区部,"9,733,276","4,774,402","4,958,874"
13101,千代田区,"66,680","33,637","33,043"
13102,中央区,"169,179","80,931","88,248"
13103,港区,"260,486","123,410","137,076"
13104,新宿区,"349,385","174,822","174,563"
13105,文京区,"240,069","115,483","124,586"
13106,台東区,"211,444","108,586","102,858"
13107,墨田区,"272,085","134,787","137,298"
13108,江東区,"524,310","258,015","266,295"
13109,品川区,"422,488","208,688","213,800"
13110,目黒区,"288,088","135,820","152,268"
13111,大田区,"748,081","372,464","375,617"
13112,世田谷区,"943,664","445,592","498,072"
13113,渋谷区,"243,883","117,907","125,976"
13114,中野区,"344,880","172,525","172,355"
13115,杉並区,"591,108","284,301","306,807"
13116,豊島区,"301,599","151,020","150,579"
13117,北区,"355,213","176,289","178,924"
13118,荒川区,"217,475","107,683","109,792"
13119,板橋区,"584,483","286,179","298,304"
13120,練馬区,"752,608","361,770","390,838"
13121,足立区,"695,043","347,408","347,635"
13122,葛飾区,"453,093","225,758","227,335"
13123,江戸川区,"697,932","351,327","346,605"
13201,八王子市,"579,355","291,307","288,048"
13202,立川市,"183,581","91,191","92,390"
13203,武蔵野市,"150,149","71,868","78,281"
13204,三鷹市,"195,391","94,489","100,902"
13205,青梅市,"133,535","66,654","66,881"
13206,府中市,"262,790","131,468","131,322"
13207,昭島市,"113,949","56,639","57,310"
13208,調布市,"242,614","117,044","125,570"
13209,町田市,"431,079","210,533","220,546"
13210,小金井市,"126,074","61,759","64,315"
13211,小平市,"198,739","97,507","101,232"
13212,日野市,"190,435","94,918","95,517"
13213,東村山市,"151,815","73,827","77,988"
13214,国分寺市,"129,242","62,985","66,257"
13215,国立市,"77,130","37,515","39,615"
13218,福生市,"56,414","28,023","28,391"
13219,狛江市,"84,772","41,043","43,729"
13220,東大和市,"83,901","41,034","42,867"
13221,清瀬市,"76,208","36,550","39,658"
13222,東久留米市,"115,271","55,647","59,624"
13223,武蔵村山市,"70,829","35,260","35,569"
13224,多摩市,"146,951","71,611","75,340"
13225,稲城市,"93,151","46,879","46,272"
13227,羽村市,"54,326","27,471","26,855"
13228,あきる野市,"79,292","39,230","40,062"
13229,西東京市,"207,388","100,992","106,396"
13216,（旧：田無市）,"91,729","44,805","46,924"
13217,（旧：保谷市）,"115,659","56,187","59,472"
13303,瑞穂町,"31,765","15,992","15,773"
13305,日の出町,"16,958","8,267","8,691"
13307,檜原村,"2,003",983,"1,020"
13308,奥多摩町,"4,750","2,389","2,361"
13361,大島町,"7,102","3,667","3,435"
13362,利島村,327,197,130
13363,新島村,"2,441","1,204","1,237"
13364,神津島村,"1,855",952,903
13381,三宅村,"2,273","1,269","1,004"
13382,御蔵島村,323,181,142
13401,八丈町,"7,042","3,534","3,508"
13402,青ヶ島村,169,102,67
13421,小笠原村,"2,929","1,805","1,124"
14000,神奈川県,"9,237,337","4,588,268","4,649,069"
14100,横浜市,"3,777,491","1,867,305","1,910,186"
14101,横浜市鶴見区,"297,437","153,438","143,999"
14102,横浜市神奈川区,"247,267","126,011","121,256"
14103,横浜市西区,"104,935","53,091","51,844"
14104,横浜市中区,"151,388","77,135","74,253"
14105,横浜市南区,"198,157","98,939","99,218"
14106,横浜市保土ケ谷区,"207,811","101,940","105,871"
14107,横浜市磯子区,"166,731","82,061","84,670"
14108,横浜市金沢区,"198,939","97,016","101,923"
14109,横浜市港北区,"358,530","179,150","179,380"
14110,横浜市戸塚区,"283,709","138,309","145,400"
14111,横浜市港南区,"215,248","105,015","110,233"
14112,横浜市旭区,"245,174","118,260","126,914"
14113,横浜市緑区,"183,082","90,168","92,914"
14114,横浜市瀬谷区,"122,623","59,355","63,268"
14115,横浜市栄区,"120,194","58,513","61,681"
14116,横浜市泉区,"152,378","73,934","78,444"
14117,横浜市青葉区,"310,756","150,351","160,405"
14118,横浜市都筑区,"213,132","104,619","108,513"
14130,川崎市,"1,538,262","775,772","762,490"
14131,川崎市川崎区,"232,965","125,091","107,874"
14132,川崎市幸区,"171,119","86,705","84,414"
14133,川崎市中原区,"263,683","133,883","129,800"
14134,川崎市高津区,"234,328","116,338","117,990"
14135,川崎市多摩区,"221,734","112,978","108,756"
14136,川崎市宮前区,"233,728","113,386","120,342"
14137,川崎市麻生区,"180,705","87,391","93,314"
14150,相模原市,"725,493","362,193","363,300"
14209,（旧：相模原市）,"662,159","330,448","331,711"
14421,（旧：城山町）,"23,180","11,535","11,645"
14422,（旧：津久井町）,"24,002","12,075","11,927"
14423,（旧：相模湖町）,"7,695","3,888","3,807"
14424,（旧：藤野町）,"8,457","4,247","4,210"
14151,相模原市緑区,"170,207","85,615","84,592"
14152,相模原市中央区,"273,875","137,167","136,708"
14153,相模原市南区,"281,411","139,411","142,000"
14201,横須賀市,"388,078","193,513","194,565"
14203,平塚市,"258,422","129,056","129,366"
14204,鎌倉市,"172,710","81,097","91,613"
14205,藤沢市,"436,905","215,596","221,309"
14206,小田原市,"188,856","91,321","97,535"
14207,茅ヶ崎市,"242,389","117,608","124,781"
14208,逗子市,"57,060","26,719","30,341"
14210,三浦市,"42,069","20,142","21,927"
14211,秦野市,"162,439","82,134","80,305"
14212,厚木市,"223,705","115,343","108,362"
14213,大和市,"239,169","119,582","119,587"
14214,伊勢原市,"101,780","51,486","50,294"
14215,海老名市,"136,516","68,631","67,885"
14216,座間市,"132,325","66,001","66,324"
14217,南足柄市,"40,841","20,000","20,841"
14218,綾瀬市,"83,913","42,581","41,332"
14301,葉山町,"31,665","14,914","16,751"
14321,寒川町,"48,348","24,466","23,882"
14341,大磯町,"31,634","15,411","16,223"
14342,二宮町,"27,564","13,285","14,279"
14361,中井町,"9,300","4,664","4,636"
14362,大井町,"17,129","8,437","8,692"
14363,松田町,"10,836","5,404","5,432"
14364,山北町,"9,761","4,826","4,935"
14366,開成町,"18,329","8,911","9,418"
14382,箱根町,"11,293","5,423","5,870"
14383,真鶴町,"6,722","3,124","3,598"
14384,湯河原町,"23,426","10,884","12,542"
14401,愛川町,"39,869","20,883","18,986"
14402,清川村,"3,038","1,556","1,482"
15000,新潟県,"2,201,272","1,068,670","1,132,602"
15100,新潟市,"789,275","379,741","409,534"
15201,（旧：新潟市）,"495,693","238,163","257,530"
15207,（旧：新津市）,"66,046","31,685","34,361"
15220,（旧：白根市）,"35,817","17,286","18,531"
15221,（旧：豊栄市）,"46,642","22,601","24,041"
15321,（旧：小須戸町）,"9,023","4,331","4,692"
15323,（旧：横越町）,"11,921","5,893","6,028"
15324,（旧：亀田町）,"35,317","16,944","18,373"
15341,（旧：岩室村）,"8,219","3,882","4,337"
15345,（旧：巻町）,"25,801","12,448","13,353"
15346,（旧：西川町）,"10,450","4,980","5,470"
15347,（旧：黒埼町）,"26,236","12,708","13,528"
15348,（旧：味方村）,"4,308","2,062","2,246"
15349,（旧：潟東村）,"5,202","2,507","2,695"
15350,（旧：月潟村）,"3,312","1,629","1,683"
15351,（旧：中之口村）,"5,288","2,622","2,666"
15101,新潟市北区,"72,804","35,490","37,314"
15102,新潟市東区,"134,446","64,388","70,058"
15103,新潟市中央区,"180,345","86,046","94,299"
15104,新潟市江南区,"67,972","32,940","35,032"
15105,新潟市秋葉区,"75,069","36,016","39,053"
15106,新潟市南区,"43,437","20,977","22,460"
15107,新潟市西区,"160,656","77,653","83,003"
15108,新潟市西蒲区,"54,546","26,231","28,315"
15202,長岡市,"266,936","131,011","135,925"
1520B,（旧：長岡市）,"191,859","94,426","97,433"
15215,（旧：栃尾市）,"16,440","8,065","8,375"
15364,（旧：中之島町）,"10,790","5,341","5,449"
15401,（旧：越路町）,"13,144","6,312","6,832"
15402,（旧：三島町）,"6,738","3,232","3,506"
15403,（旧：与板町）,"5,957","2,926","3,031"
15404,（旧：和島村）,"3,676","1,790","1,886"
15406,（旧：寺泊町）,"8,694","4,254","4,440"
15421,（旧：山古志村）,809,400,409
15441,（旧：川口町）,"4,087","1,975","2,112"
15502,（旧：小国町）,"4,742","2,290","2,452"
15204,三条市,"94,642","45,815","48,827"
1520C,（旧：三条市）,"75,958","36,744","39,214"
15362,（旧：下田村）,"8,505","4,116","4,389"
15363,（旧：栄町）,"10,179","4,955","5,224"
15205,柏崎市,"81,526","40,556","40,970"
1520D,（旧：柏崎市）,"75,424","37,585","37,839"
15501,（旧：高柳町）,"1,187",563,624
15505,（旧：西山町）,"4,915","2,408","2,507"
15206,新発田市,"94,927","45,963","48,964"
1520E,（旧：新発田市）,"74,126","35,989","38,137"
15306,（旧：豊浦町）,"8,546","4,012","4,534"
15308,（旧：加治川村）,"5,683","2,768","2,915"
15309,（旧：紫雲寺町）,"6,572","3,194","3,378"
15208,小千谷市,"34,096","16,830","17,266"
15209,加茂市,"25,441","12,406","13,035"
15210,十日町市,"49,820","24,339","25,481"
1521B,（旧：十日町市）,"34,646","16,955","17,691"
15481,（旧：川西町）,"5,873","2,907","2,966"
15483,（旧：中里村）,"4,659","2,273","2,386"
15523,（旧：松代町）,"2,816","1,344","1,472"
15524,（旧：松之山町）,"1,826",860,966
15211,見附市,"39,237","19,050","20,187"
15212,村上市,"57,418","27,474","29,944"
1521C,（旧：村上市）,"26,024","12,462","13,562"
15582,（旧：荒川町）,"9,585","4,622","4,963"
15583,（旧：神林村）,"8,133","3,894","4,239"
15584,（旧：朝日村）,"8,604","4,160","4,444"
15585,（旧：山北町）,"5,072","2,336","2,736"
15213,燕市,"77,201","37,629","39,572"
1521D,（旧：燕市）,"41,315","20,222","21,093"
15343,（旧：分水町）,"13,046","6,334","6,712"
15344,（旧：吉田町）,"22,840","11,073","11,767"
15216,糸魚川市,"40,765","20,068","20,697"
1521E,（旧：糸魚川市）,"25,491","12,613","12,878"
15562,（旧：能生町）,"7,733","3,809","3,924"
15563,（旧：青海町）,"7,541","3,646","3,895"
15217,妙高市,"30,383","14,740","15,643"
1521F,（旧：新井市）,"22,846","11,080","11,766"
15545,（旧：妙高高原町）,"4,159","1,994","2,165"
15547,（旧：妙高村）,"3,378","1,666","1,712"
15218,五泉市,"47,625","22,890","24,735"
1521G,（旧：五泉市）,"32,200","15,510","16,690"
15322,（旧：村松町）,"15,425","7,380","8,045"
15222,上越市,"188,047","91,929","96,118"
1522B,（旧：上越市）,"129,454","63,356","66,098"
15521,（旧：安塚町）,"2,069",983,"1,086"
15522,（旧：浦川原村）,"3,111","1,520","1,591"
15525,（旧：大島村）,"1,289",603,686
15526,（旧：牧村）,"1,629",784,845
15541,（旧：柿崎町）,"8,901","4,301","4,600"
15542,（旧：大潟町）,"9,096","4,494","4,602"
15543,（旧：頸城村）,"9,176","4,514","4,662"
15544,（旧：吉川町）,"3,669","1,757","1,912"
15546,（旧：中郷村）,"3,390","1,648","1,742"
15548,（旧：板倉町）,"6,248","3,025","3,223"
15549,（旧：清里村）,"2,453","1,236","1,217"
15550,（旧：三和村）,"5,218","2,567","2,651"
15561,（旧：名立町）,"2,344","1,141","1,203"
15223,阿賀野市,"40,696","19,570","21,126"
15301,（旧：安田町）,"8,932","4,267","4,665"
15302,（旧：京ヶ瀬村）,"6,821","3,368","3,453"
15303,（旧：水原町）,"18,059","8,597","9,462"
15304,（旧：笹神村）,"6,884","3,338","3,546"
15224,佐渡市,"51,492","24,881","26,611"
15219,（旧：両津市）,"11,572","5,550","6,022"
15601,（旧：相川町）,"5,809","2,819","2,990"
15602,（旧：佐和田町）,"8,308","4,082","4,226"
15603,（旧：金井町）,"6,172","2,981","3,191"
15604,（旧：新穂村）,"3,396","1,668","1,728"
15605,（旧：畑野町）,"4,034","1,904","2,130"
15606,（旧：真野町）,"4,443","2,104","2,339"
15607,（旧：小木町）,"2,583","1,267","1,316"
15608,（旧：羽茂町）,"3,063","1,455","1,608"
15609,（旧：赤泊村）,"2,112","1,051","1,061"
15225,魚沼市,"34,483","16,802","17,681"
15442,（旧：堀之内町）,"7,229","3,548","3,681"
15443,（旧：小出町）,"10,647","5,153","5,494"
15444,（旧：湯之谷村）,"5,565","2,683","2,882"
15445,（旧：広神村）,"6,878","3,347","3,531"
15446,（旧：守門村）,"3,072","1,527","1,545"
15447,（旧：入広瀬村）,"1,092",544,548
15226,南魚沼市,"54,851","26,777","28,074"
15462,（旧：塩沢町）,"16,762","8,253","8,509"
15463,（旧：六日町）,"24,746","12,104","12,642"
15464,（旧：大和町）,"13,343","6,420","6,923"
15227,胎内市,"28,509","13,959","14,550"
15310,（旧：中条町）,"23,755","11,696","12,059"
15311,（旧：黒川村）,"4,754","2,263","2,491"
15307,聖籠町,"14,259","7,172","7,087"
15342,弥彦村,"7,705","3,733","3,972"
15361,田上町,"11,227","5,395","5,832"
15385,阿賀町,"9,965","4,825","5,140"
15381,（旧：津川町）,"3,441","1,674","1,767"
15382,（旧：鹿瀬町）,"1,590",756,834
15383,（旧：上川村）,"2,063","1,018","1,045"
15384,（旧：三川村）,"2,871","1,377","1,494"
15405,出雲崎町,"4,113","1,978","2,135"
15461,湯沢町,"7,767","3,946","3,821"
15482,津南町,"8,989","4,322","4,667"
15504,刈羽村,"4,380","2,244","2,136"
15581,関川村,"5,144","2,444","2,700"
15586,粟島浦村,353,181,172
16000,富山県,"1,034,814","502,637","532,177"
16201,富山市,"413,938","202,281","211,657"
1620B,（旧：富山市）,"321,666","157,218","164,448"
16301,（旧：大沢野町）,"21,000","10,279","10,721"
16302,（旧：大山町）,"9,321","4,532","4,789"
16361,（旧：八尾町）,"18,673","9,111","9,562"
16362,（旧：婦中町）,"40,803","19,924","20,879"
16363,（旧：山田村）,"1,297",635,662
16364,（旧：細入村）,"1,178",582,596
16202,高岡市,"166,393","80,482","85,911"
1620C,（旧：高岡市）,"154,218","74,592","79,626"
16422,（旧：福岡町）,"12,175","5,890","6,285"
16204,魚津市,"40,535","19,729","20,806"
16205,氷見市,"43,950","20,883","23,067"
16206,滑川市,"32,349","15,750","16,599"
16207,黒部市,"39,638","19,514","20,124"
1620D,（旧：黒部市）,"34,945","17,240","17,705"
16341,（旧：宇奈月町）,"4,693","2,274","2,419"
16208,砺波市,"48,154","23,419","24,735"
1620E,（旧：砺波市）,"42,606","20,788","21,818"
16405,（旧：庄川町）,"5,548","2,631","2,917"
16209,小矢部市,"28,983","13,991","14,992"
16210,南砺市,"47,937","22,940","24,997"
16401,（旧：城端町）,"8,071","3,824","4,247"
16402,（旧：平村）,847,397,450
16403,（旧：上平村）,585,265,320
16404,（旧：利賀村）,465,252,213
16406,（旧：井波町）,"7,855","3,696","4,159"
16407,（旧：井口村）,"1,076",537,539
16408,（旧：福野町）,"13,011","6,312","6,699"
16421,（旧：福光町）,"16,027","7,657","8,370"
16211,射水市,"90,742","44,253","46,489"
16203,（旧：新湊市）,"31,685","15,454","16,231"
16381,（旧：小杉町）,"33,919","16,764","17,155"
16382,（旧：大門町）,"12,443","6,031","6,412"
16383,（旧：下村）,"1,719",829,890
16384,（旧：大島町）,"10,976","5,175","5,801"
16321,舟橋村,"3,132","1,521","1,611"
16322,上市町,"19,351","9,255","10,096"
16323,立山町,"24,792","12,002","12,790"
16342,入善町,"23,839","11,385","12,454"
16343,朝日町,"11,081","5,232","5,849"
17000,石川県,"1,132,526","549,771","582,755"
17201,金沢市,"463,254","224,549","238,705"
