コード,全国，都道府県，市区町村,総数,男,女
01459,美瑛町,"9,668","4,495","5,173"
01460,上富良野町,"10,348","5,363","4,985"
01461,中富良野町,"4,733","2,260","2,473"
01462,南富良野町,"2,376","1,228","1,148"
01463,占冠村,"1,306",653,653
01464,和寒町,"3,192","1,497","1,695"
01465,剣淵町,"2,926","1,425","1,501"
01468,下川町,"3,126","1,491","1,635"
01469,美深町,"4,145","2,038","2,107"
01470,音威子府村,706,365,341
01471,中川町,"1,528",805,723
01472,幌加内町,"1,370",681,689
01439,（旧：幌加内町）,"1,370",681,689
01481,増毛町,"3,908","1,776","2,132"
01482,小平町,"2,994","1,431","1,563"
01483,苫前町,"2,936","1,428","1,508"
01484,羽幌町,"6,548","3,163","3,385"
01485,初山別村,"1,080",518,562
01486,遠別町,"2,520","1,222","1,298"
01487,天塩町,"2,950","1,478","1,472"
01511,猿払村,"2,611","1,285","1,326"
01512,浜頓別町,"3,448","1,675","1,773"
01513,中頓別町,"1,637",818,819
01514,枝幸町,"7,565","3,600","3,965"
0151B,（旧：枝幸町）,"6,067","2,884","3,183"
01515,（旧：歌登町）,"1,498",716,782
01516,豊富町,"3,974","2,098","1,876"
01517,礼文町,"2,509","1,284","1,225"
01518,利尻町,"2,004",994,"1,010"
01519,利尻富士町,"2,458","1,188","1,270"
01520,幌延町,"2,371","1,290","1,081"
01488,（旧：幌延町）,"2,371","1,290","1,081"
01543,美幌町,"18,697","9,063","9,634"
01544,津別町,"4,373","2,096","2,277"
01545,斜里町,"11,418","5,672","5,746"
01546,清里町,"3,883","1,882","2,001"
01547,小清水町,"4,623","2,207","2,416"
01549,訓子府町,"4,677","2,241","2,436"
01550,置戸町,"2,775","1,281","1,494"
01552,佐呂間町,"4,875","2,296","2,579"
01555,遠軽町,"19,241","9,337","9,904"
01554,（旧：生田原町）,"1,582",792,790
0155B,（旧：遠軽町）,"15,859","7,730","8,129"
01556,（旧：丸瀬布町）,"1,214",536,678
01557,（旧：白滝村）,586,279,307
01559,湧別町,"8,270","3,947","4,323"
01558,（旧：上湧別町）,"4,467","2,079","2,388"
0155C,（旧：湧別町）,"3,803","1,868","1,935"
01560,滝上町,"2,421","1,177","1,244"
01561,興部町,"3,628","1,768","1,860"
01562,西興部村,"1,053",520,533
01563,雄武町,"4,199","1,999","2,200"
01564,大空町,"6,775","3,287","3,488"
01541,（旧：東藻琴村）,"2,124","1,011","1,113"
01542,（旧：女満別町）,"4,651","2,276","2,375"
01571,豊浦町,"3,821","1,781","2,040"
01575,壮瞥町,"2,743","1,285","1,458"
01578,白老町,"16,212","7,706","8,506"
01581,厚真町,"4,432","2,249","2,183"
01584,洞爺湖町,"8,442","3,909","4,533"
01572,（旧：虻田町）,"6,874","3,173","3,701"
01573,（旧：洞爺村）,"1,568",736,832
01585,安平町,"7,340","3,632","3,708"
01579,（旧：早来町）,"4,358","2,192","2,166"
01580,（旧：追分町）,"2,982","1,440","1,542"
01586,むかわ町,"7,651","3,779","3,872"
01582,（旧：鵡川町）,"5,253","2,606","2,647"
01583,（旧：穂別町）,"2,398","1,173","1,225"
01601,日高町,"11,279","5,712","5,567"
0160B,（旧：日高町）,"1,347",703,644
01603,（旧：門別町）,"9,932","5,009","4,923"
01602,平取町,"4,776","2,395","2,381"
01604,新冠町,"5,309","2,603","2,706"
01607,浦河町,"12,074","5,975","6,099"
01608,様似町,"4,043","1,923","2,120"
01609,えりも町,"4,374","2,230","2,144"
01610,新ひだか町,"21,517","10,473","11,044"
01605,（旧：静内町）,"18,041","8,816","9,225"
01606,（旧：三石町）,"3,476","1,657","1,819"
01631,音更町,"43,576","20,630","22,946"
01632,士幌町,"5,848","2,891","2,957"
01633,上士幌町,"4,778","2,343","2,435"
01634,鹿追町,"5,266","2,572","2,694"
01635,新得町,"5,817","2,900","2,917"
01636,清水町,"9,094","4,478","4,616"
01637,芽室町,"18,048","8,612","9,436"
01638,中札内村,"3,884","1,880","2,004"
01639,更別村,"3,080","1,519","1,561"
01641,大樹町,"5,420","2,714","2,706"
01642,広尾町,"6,387","3,096","3,291"
01643,幕別町,"25,766","12,243","13,523"
01640,（旧：忠類村）,"1,427",698,729
0164B,（旧：幕別町）,"24,339","11,545","12,794"
01644,池田町,"6,294","2,967","3,327"
01645,豊頃町,"3,022","1,478","1,544"
01646,本別町,"6,618","3,228","3,390"
01647,足寄町,"6,563","3,215","3,348"
01648,陸別町,"2,264","1,138","1,126"
01649,浦幌町,"4,387","2,138","2,249"
01661,釧路町,"19,105","9,101","10,004"
01662,厚岸町,"8,892","4,173","4,719"
01663,浜中町,"5,507","2,726","2,781"
01664,標茶町,"7,230","3,471","3,759"
01665,弟子屈町,"6,955","3,314","3,641"
01667,鶴居村,"2,558","1,254","1,304"
01668,白糠町,"7,289","3,414","3,875"
01691,別海町,"14,380","7,286","7,094"
01692,中標津町,"23,010","11,339","11,671"
01693,標津町,"5,023","2,465","2,558"
01694,羅臼町,"4,722","2,346","2,376"
02000,青森県,"1,237,984","583,402","654,582"
02201,青森市,"275,192","128,049","147,143"
0220B,（旧：青森市）,"258,064","119,995","138,069"
02364,（旧：浪岡町）,"17,128","8,054","9,074"
02202,弘前市,"168,466","77,251","91,215"
0220C,（旧：弘前市）,"155,163","71,163","84,000"
02341,（旧：岩木町）,"10,187","4,657","5,530"
02342,（旧：相馬村）,"3,116","1,431","1,685"
02203,八戸市,"223,415","106,818","116,597"
0220D,（旧：八戸市）,"218,718","104,564","114,154"
02448,（旧：南郷村）,"4,697","2,254","2,443"
02204,黒石市,"31,946","14,789","17,157"
02205,五所川原市,"51,415","23,252","28,163"
0220E,（旧：五所川原市）,"41,926","18,975","22,951"
02382,（旧：金木町）,"7,699","3,449","4,250"
02385,（旧：市浦村）,"1,790",828,962
02206,十和田市,"60,378","28,685","31,693"
0220F,（旧：十和田市）,"56,695","26,914","29,781"
02404,（旧：十和田湖町）,"3,683","1,771","1,912"
02207,三沢市,"39,152","19,602","19,550"
02208,むつ市,"54,103","26,104","27,999"
0220G,（旧：むつ市）,"43,574","21,297","22,277"
02421,（旧：川内町）,"3,332","1,570","1,762"
02422,（旧：大畑町）,"5,976","2,695","3,281"
02427,（旧：脇野沢村）,"1,221",542,679
02209,つがる市,"30,934","14,363","16,571"
02322,（旧：木造町）,"14,270","6,563","7,707"
02324,（旧：森田村）,"3,918","1,848","2,070"
02326,（旧：柏村）,"5,122","2,356","2,766"
02327,（旧：稲垣村）,"3,493","1,580","1,913"
02328,（旧：車力村）,"4,131","2,016","2,115"
02210,平川市,"30,567","14,188","16,379"
02363,（旧：尾上町）,"9,063","4,200","4,863"
02365,（旧：平賀町）,"19,320","9,016","10,304"
02368,（旧：碇ケ関村）,"2,184",972,"1,212"
02301,平内町,"10,126","4,818","5,308"
02303,今別町,"2,334","1,119","1,215"
02304,蓬田村,"2,540","1,211","1,329"
02307,外ヶ浜町,"5,401","2,527","2,874"
02302,（旧：蟹田町）,"2,610","1,181","1,429"
02305,（旧：平舘村）,"1,347",663,684
02306,（旧：三厩村）,"1,444",683,761
02321,鰺ヶ沢町,"9,044","4,145","4,899"
02323,深浦町,"7,346","3,397","3,949"
0232B,（旧：深浦町）,"5,660","2,630","3,030"
02325,（旧：岩崎村）,"1,686",767,919
02343,西目屋村,"1,265",589,676
02361,藤崎町,"14,573","6,748","7,825"
0236B,（旧：藤崎町）,"8,655","3,993","4,662"
02366,（旧：常盤村）,"5,918","2,755","3,163"
02362,大鰐町,"8,665","3,934","4,731"
02367,田舎館村,"7,326","3,425","3,901"
02381,板柳町,"12,700","5,806","6,894"
02384,鶴田町,"12,074","5,553","6,521"
02387,中泊町,"9,657","4,432","5,225"
02383,（旧：中里町）,"7,250","3,313","3,937"
02386,（旧：小泊村）,"2,407","1,119","1,288"
02401,野辺地町,"12,374","5,776","6,598"
02402,七戸町,"14,556","6,964","7,592"
0240B,（旧：七戸町）,"8,166","3,886","4,280"
02409,（旧：天間林村）,"6,390","3,078","3,312"
02405,六戸町,"10,447","5,084","5,363"
02406,横浜町,"4,229","2,071","2,158"
02408,東北町,"16,428","7,846","8,582"
02407,（旧：上北町）,"8,368","3,985","4,383"
0240C,（旧：東北町）,"8,060","3,861","4,199"
02411,六ヶ所村,"10,367","5,910","4,457"
02412,おいらせ町,"24,273","11,627","12,646"
02403,（旧：百石町）,"8,548","4,070","4,478"
02410,（旧：下田町）,"15,725","7,557","8,168"
02423,大間町,"4,718","2,375","2,343"
02424,東通村,"5,955","3,162","2,793"
02425,風間浦村,"1,636",779,857
02426,佐井村,"1,788",883,905
02441,三戸町,"9,082","4,288","4,794"
02442,五戸町,"16,042","7,676","8,366"
0244B,（旧：五戸町）,"13,459","6,468","6,991"
02449,（旧：倉石村）,"2,583","1,208","1,375"
02443,田子町,"4,968","2,376","2,592"
02445,南部町,"16,809","7,884","8,925"
02444,（旧：名川町）,"6,761","3,204","3,557"
0244C,（旧：南部町）,"4,325","2,037","2,288"
02447,（旧：福地村）,"5,723","2,643","3,080"
02446,階上町,"13,496","6,827","6,669"
02450,新郷村,"2,197","1,069","1,128"
03000,岩手県,"1,210,534","582,952","627,582"
03201,盛岡市,"289,731","136,919","152,812"
0320B,（旧：盛岡市）,"278,398","131,484","146,914"
03307,（旧：玉山村）,"11,333","5,435","5,898"
03202,宮古市,"50,369","24,381","25,988"
0320C,（旧：宮古市）,"43,162","20,836","22,326"
03481,（旧：田老町）,"2,729","1,331","1,398"
03486,（旧：新里村）,"2,419","1,185","1,234"
03487,（旧：川井村）,"2,059","1,029","1,030"
03203,大船渡市,"34,728","16,679","18,049"
0320D,（旧：大船渡市）,"29,171","13,985","15,186"
03442,（旧：三陸町）,"5,557","2,694","2,863"
03205,花巻市,"93,193","44,423","48,770"
0320E,（旧：花巻市）,"67,147","32,109","35,038"
03341,（旧：大迫町）,"4,686","2,230","2,456"
03342,（旧：石鳥谷町）,"13,484","6,344","7,140"
03361,（旧：東和町）,"7,876","3,740","4,136"
03206,北上市,"93,045","46,852","46,193"
03207,久慈市,"33,043","15,883","17,160"
0320F,（旧：久慈市）,"30,830","14,832","15,998"
03504,（旧：山形村）,"2,213","1,051","1,162"
03208,遠野市,"25,366","12,222","13,144"
0320G,（旧：遠野市）,"21,452","10,362","11,090"
03462,（旧：宮守村）,"3,914","1,860","2,054"
03209,一関市,"111,932","54,254","57,678"
0320H,（旧：一関市）,"55,942","26,989","28,953"
03401,（旧：花泉町）,"12,167","5,864","6,303"
03421,（旧：大東町）,"12,318","6,007","6,311"
03422,（旧：藤沢町）,"7,331","3,621","3,710"
